lon;lat;Model1;Model2;Model3;GSMaP
90,00 ;-10,00 ;17,06;12,72;12,48;75,36
90,00 ;-9,88 ;18,28;11,36;13,53;75,84
90,00 ;-9,75 ;18,34;11,22;13,53;83,04
90,00 ;-9,63 ;19,5;10,77;13,89;76,32
90,00 ;-9,50 ;21,56;9,91;13,45;73,92
90,00 ;-9,38 ;22,03;9,44;12,92;64,08
90,00 ;-9,25 ;21,78;9,11;12,88;52,32
90,00 ;-9,13 ;22,53;8,75;15,3;45,6
90,00 ;-9,00 ;22,28;7,69;16,11;41,76
90,00 ;-8,88 ;22,31;6,66;17,05;53,04
90,00 ;-8,75 ;20,97;6,69;16,94;62,88
90,00 ;-8,63 ;17,75;8,78;21,12;69,84
90,00 ;-8,50 ;17,53;9,73;23,36;71,04
90,00 ;-8,38 ;17,91;9,12;28,5;81,6
90,00 ;-8,25 ;18,47;10,31;30,84;70,8
90,00 ;-8,13 ;17,06;11,84;28,84;72,72
90,00 ;-8,00 ;15,53;14,03;26,25;101,76
90,00 ;-7,88 ;14,06;15,3;22,53;99,36
90,00 ;-7,75 ;13,75;16,23;21,08;87,12
90,00 ;-7,63 ;14,19;16,78;20,42;74,4
90,00 ;-7,50 ;14;15,61;24,61;59,52
90,00 ;-7,38 ;13,47;14,86;28,86;53,04
90,00 ;-7,25 ;13,91;14,2;29,41;54
90,00 ;-7,13 ;16,25;14,05;27,36;54,72
90,00 ;-7,00 ;15,72;17,02;25,56;54,72
90,00 ;-6,88 ;15,25;17,02;24,62;50,64
90,00 ;-6,75 ;13,66;17,78;24,14;42
90,00 ;-6,63 ;10,78;21,67;24,11;36,72
90,00 ;-6,50 ;9,5;25,33;24,86;19,92
90,00 ;-6,38 ;10,38;26,7;26,69;11,28
90,00 ;-6,25 ;13,16;26,17;25,95;14,88
90,00 ;-6,13 ;14,81;22,3;25,05;20,16
90,00 ;-6,00 ;17,16;22,25;25,53;31,2
90,00 ;-5,88 ;18,09;23,14;26,27;27,12
90,00 ;-5,75 ;18,5;23,05;27,05;29,76
90,00 ;-5,63 ;20,53;22,36;28,52;26,64
90,00 ;-5,50 ;21,09;21,86;30,84;9,6
90,00 ;-5,38 ;19,06;23,41;29,47;7,68
90,00 ;-5,25 ;19,47;25,81;26,64;7,44
90,00 ;-5,13 ;17,97;26,67;24,62;9,36
90,00 ;-5,00 ;18,75;25,38;27,05;17,76
90,00 ;-4,88 ;18,91;27,66;27,89;14,4
90,00 ;-4,75 ;16,94;26,38;28,45;6
90,00 ;-4,63 ;18,88;25,77;24,62;5,52
90,00 ;-4,50 ;19;26,75;23,61;3,84
90,00 ;-4,38 ;22,81;27,06;28,47;3,12
90,00 ;-4,25 ;20,81;28,86;28,14;3,6
90,00 ;-4,13 ;19,28;28,89;23,83;2,16
90,00 ;-4,00 ;21,06;27,11;22,42;0,96
90,00 ;-3,88 ;21,34;25,72;22,95;1,2
90,00 ;-3,75 ;18,94;28,66;25,84;2,16
90,00 ;-3,63 ;24,88;32,28;24,88;2,16
90,00 ;-3,50 ;22,56;34,39;23,11;0
90,00 ;-3,38 ;20,28;33,75;20,36;0
90,00 ;-3,25 ;17,75;28,28;21,67;0
90,00 ;-3,13 ;19,53;29,23;20,16;0
90,00 ;-3,00 ;18,56;26,59;21,89;0
90,00 ;-2,88 ;18,56;25,02;21,91;0
90,00 ;-2,75 ;20,75;22,89;18,95;0
90,00 ;-2,63 ;22,31;22,66;15,56;0
90,00 ;-2,50 ;21,69;23,25;8,91;0
90,00 ;-2,38 ;20,28;23,16;9,22;0
90,00 ;-2,25 ;21,41;22,47;7,75;0
90,00 ;-2,13 ;19,47;21,23;9,09;0
90,00 ;-2,00 ;19,44;20,12;10,48;0
90,00 ;-1,88 ;18,34;20,05;11,3;0
90,00 ;-1,75 ;17,59;19,84;11,91;0
90,00 ;-1,63 ;17,94;19,88;14,47;0
90,00 ;-1,50 ;16,72;20,16;15,3;0
90,00 ;-1,38 ;18,31;19,75;13,62;0
90,00 ;-1,25 ;18,38;17,56;12,61;0
90,00 ;-1,13 ;15,94;17,59;11,5;0
90,00 ;-1,00 ;15;16,94;9,25;0,24
90,00 ;-0,88 ;13,41;16,42;9,45;0
90,00 ;-0,75 ;13,34;16,08;8,39;0
90,00 ;-0,63 ;14,78;14,55;7,23;0
90,00 ;-0,50 ;13,59;15,08;6,16;0
90,00 ;-0,38 ;14,31;14,66;5,27;0,24
90,00 ;-0,25 ;14,59;14,94;4,97;2,16
90,00 ;-0,13 ;15,38;14,56;4,75;6,72
90,00 ;0,00 ;14,94;14,16;5,62;6,48
90,00 ;0,13 ;14,47;15,19;7,16;6,96
90,00 ;0,25 ;14,78;16,27;7,16;5,28
90,00 ;0,38 ;14,72;16,91;7,56;5,04
90,00 ;0,50 ;14,38;16,97;6,78;13,2
90,00 ;0,63 ;13,47;17,86;6,8;8,88
90,00 ;0,75 ;13,91;19,12;6,78;4,56
90,00 ;0,88 ;14;18,59;7,09;4,8
90,00 ;1,00 ;12,41;17,19;6,89;4,32
90,00 ;1,13 ;13,16;14,95;6,84;6,24
90,00 ;1,25 ;13,06;14,11;6,5;6,96
90,00 ;1,38 ;12,25;14,81;6,92;12,48
90,00 ;1,50 ;11,12;15;7,89;8,16
90,00 ;1,63 ;10,62;13,88;9,59;8,88
90,00 ;1,75 ;10,03;12,59;11,53;10,08
90,00 ;1,88 ;9,75;13,03;10,92;6,48
90,00 ;2,00 ;9,38;12,58;10,23;6,72
90,00 ;2,13 ;11;12,3;10,62;8,88
90,00 ;2,25 ;11,38;14,78;11,19;9,36
90,00 ;2,38 ;11,66;13,33;9,64;15,12
90,00 ;2,50 ;11,56;10,78;8,69;31,68
90,00 ;2,63 ;10,91;13,19;8,39;37,2
90,00 ;2,75 ;13,12;15,11;10,91;35,52
90,00 ;2,88 ;14,38;14,66;11,16;29,28
90,00 ;3,00 ;14,22;13,83;12,75;27,6
90,00 ;3,13 ;17,47;16,02;13,45;18,24
90,00 ;3,25 ;19,69;14,98;13,36;17,28
90,00 ;3,38 ;18,84;14,98;12,62;16,56
90,00 ;3,50 ;20,12;16,03;15,28;19,2
90,00 ;3,63 ;23,03;19,5;20,44;26,88
90,00 ;3,75 ;22,88;16,92;20,36;31,68
90,00 ;3,88 ;24,72;14,39;17,27;41,76
90,00 ;4,00 ;23,78;14,72;11,86;70,32
90,00 ;4,13 ;18,16;10,06;7,69;75,36
90,00 ;4,25 ;16,28;10,05;5,89;76,32
90,00 ;4,38 ;12,12;9,89;5,73;77,52
90,00 ;4,50 ;10,47;10,86;6,31;77,28
90,00 ;4,63 ;7,91;10,39;6,14;76,8
90,00 ;4,75 ;9,41;11,08;6,11;80,64
90,00 ;4,88 ;8,97;10,94;6,06;77,52
90,00 ;5,00 ;7,59;11,44;6,16;41,28
90,00 ;5,13 ;7,41;10,38;6,73;34,32
90,00 ;5,25 ;7,53;8,31;6,56;31,2
90,00 ;5,38 ;8,31;7,48;7,02;20,16
90,00 ;5,50 ;8,28;7,59;7,56;12,96
90,00 ;5,63 ;6,88;7,58;7,61;14,16
90,00 ;5,75 ;7,34;6,69;6,47;16,56
90,00 ;5,88 ;7,5;7,14;6,8;15,12
90,00 ;6,00 ;8,09;7,09;5,41;20,16
90,00 ;6,13 ;6,66;5,31;5,56;20,16
90,00 ;6,25 ;7,31;4,66;4,11;20,88
90,00 ;6,38 ;4,69;5,06;4,2;18,48
90,00 ;6,50 ;4,75;5,7;4,31;12,72
90,00 ;6,63 ;3,25;5,58;3,7;11,76
90,00 ;6,75 ;3,62;5,44;3,25;12,72
90,00 ;6,88 ;3,12;5,12;2,3;13,68
90,00 ;7,00 ;2,62;6,05;2,69;22,56
90,00 ;7,13 ;2,75;7,09;1,8;33,36
90,00 ;7,25 ;2,38;6,41;1,75;32,4
90,00 ;7,38 ;2,22;6,92;1,55;36,24
90,00 ;7,50 ;2;6,17;0,94;35,76
90,00 ;7,63 ;1,84;5,44;1,25;35,76
90,00 ;7,75 ;2,28;5,89;1,11;32,4
90,00 ;7,88 ;2,34;6,73;1,09;27,36
90,00 ;8,00 ;1,84;6,81;1,58;23,04
90,00 ;8,13 ;2,16;4,12;0,66;16,8
90,00 ;8,25 ;1,88;2,75;0,77;7,92
90,00 ;8,38 ;2,16;4,48;0,66;1,92
90,00 ;8,50 ;1,91;4,05;0,7;0,24
90,00 ;8,63 ;1,41;2,97;1,05;0
90,00 ;8,75 ;1,53;3,62;0,41;0
90,00 ;8,88 ;0,94;1,98;0,17;0
90,00 ;9,00 ;0,88;1,64;0,48;0
90,00 ;9,13 ;0,88;1,3;0,12;0
90,00 ;9,25 ;0,69;1,77;0,08;0
90,00 ;9,38 ;0,59;1,56;0,11;0
90,00 ;9,50 ;0,5;0,98;0,05;0
90,00 ;9,63 ;0,34;0,72;0,05;0
90,00 ;9,75 ;0,56;0,66;0,05;0
90,00 ;9,88 ;0,66;0,09;0,08;0
90,00 ;10,00 ;0,38;0,08;0,09;0
90,13 ;-10,00 ;18,41;11,11;14,09;75,12
90,13 ;-9,88 ;16,84;9,98;14,25;81,84
90,13 ;-9,75 ;17,41;11,02;14,45;85,2
90,13 ;-9,63 ;18,69;11,23;14,03;80,4
90,13 ;-9,50 ;21,47;10,12;14,8;70,08
90,13 ;-9,38 ;22,16;9,59;14,36;64,56
90,13 ;-9,25 ;20,88;9,94;14,08;56,64
90,13 ;-9,13 ;20,12;9,95;14,05;52,56
90,13 ;-9,00 ;21,28;9,38;15,72;42,24
90,13 ;-8,88 ;19,5;8,14;17,59;41,52
90,13 ;-8,75 ;19;7,66;20,8;43,68
90,13 ;-8,63 ;17,44;8,3;28,03;57,12
90,13 ;-8,50 ;16,12;10,27;37,14;71,52
90,13 ;-8,38 ;16,09;10,61;52,78;81,6
90,13 ;-8,25 ;16,47;12,02;50,89;62,16
90,13 ;-8,13 ;16,66;12,8;35,03;57,36
90,13 ;-8,00 ;16,28;16,83;24,17;78
90,13 ;-7,88 ;16,09;17,45;18,95;84
90,13 ;-7,75 ;16,59;16,17;17,02;90,24
90,13 ;-7,63 ;16,16;17,33;17,77;86,4
90,13 ;-7,50 ;15,47;16,67;22,69;68,88
90,13 ;-7,38 ;15,03;15,27;24,66;59,76
90,13 ;-7,25 ;14,09;15,78;25,83;61,2
90,13 ;-7,13 ;13,78;15,94;25,77;59,52
90,13 ;-7,00 ;15,53;18,5;25,44;66,48
90,13 ;-6,88 ;17,22;17,92;23,77;66,24
90,13 ;-6,75 ;15,78;18,17;22,84;48,48
90,13 ;-6,63 ;13,59;22,45;22,2;42
